UniProtAccession,UniProtID,EntryType,GeneSymbol,GeneSynonyms,ProteinName,Function,DiseaseAssociations,SubcellularLocation,TissueSpecificity,PathwayAnnotation,Keywords,Domains,BindingSites,ActiveSites,AlphaFoldID,PDB_IDs,DrugBankIDs,ChEMBL_IDs,KEGG_IDs,ReactomePathways,SequenceLength,MolecularWeight,Organism
P04196,HRG_HUMAN,reviewed,HRG,,Histidine-rich glycoprotein,"Plasma glycoprotein that binds a number of ligands such as heme, heparin, heparan sulfate, thrombospondin, plasminogen, and divalent metal ions. Binds heparin and heparin/glycosaminoglycans in a zinc-dependent manner. Binds heparan sulfate on the surface of liver, lung, kidney and heart endothelial cells. Binds to N-sulfated polysaccharide chains on the surface of liver endothelial cells. Inhibits rosette formation. Acts as an adapter protein and is implicated in regulating many processes such as immune complex and pathogen clearance, cell chemotaxis, cell adhesion, angiogenesis, coagulation and fibrinolysis. Mediates clearance of necrotic cells through enhancing the phagocytosis of necrotic cells in a heparan sulfate-dependent pathway. This process can be regulated by the presence of certain HRG ligands such as heparin and zinc ions. Binds to IgG subclasses of immunoglobins containing kappa and lambda light chains with different affinities regulating their clearance and inhibiting the formation of insoluble immune complexes. Tethers plasminogen to the cell surface. Binds T-cells and alters the cell morphology. Modulates angiogenesis by blocking the CD6-mediated antiangiongenic effect of thrombospondins, THBS1 and THBS2. Acts as a regulator of the vascular endothelial growth factor (VEGF) signaling pathway; inhibits endothelial cell motility by reducing VEGF-induced complex formation between PXN/paxillin and ILK/integrin-linked protein kinase and by promoting inhibition of VEGF-induced tyrosine phosphorylation of focal adhesion kinases and alpha-actinins in endothelial cells. Also plays a role in the regulation of tumor angiogenesis and tumor immune surveillance. Normalizes tumor vessels and promotes antitumor immunity by polarizing tumor-associated macrophages, leading to decreased tumor growth and metastasis",Thrombophilia due to histidine-rich glycoprotein deficiency (THPH11),Secreted,Expressed in macrophages and in malignant cells. Expressed by the liver and secreted in plasma (at protein level),,Angiogenesis|Blood coagulation|Chemotaxis|Cleavage on pair of basic residues|Copper|Direct protein sequencing|Disease variant|Disulfide bond|Fibrinolysis|Glycoprotein|Hemostasis|Heparin-binding|Metal-binding|Proteomics identification|Reference proteome|Repeat|Secreted|Signal|Thrombophilia|Zinc,Cystatin 1 [19-136]|Cystatin 2 [137-254],,,P04196,,DB14533|DB14548,,hsa:3273,R-HSA-114608:Platelet degranulation|R-HSA-75205:Dissolution of Fibrin Clot,525,59578,Homo sapiens
Q99714,HCD2_HUMAN,reviewed,HSD17B10,ERAB|HADH2|MRPP2|SCHAD|SDR5C1|XH98G2,3-hydroxyacyl-CoA dehydrogenase type-2,"In addition to mitochondrial dehydrogenase activity, moonlights as a component of mitochondrial ribonuclease P, a complex that cleaves tRNA molecules in their 5'-ends (PubMed:18984158, PubMed:24549042, PubMed:25925575, PubMed:26950678, PubMed:28888424). Together with TRMT10C/MRPP1, forms a subcomplex of the mitochondrial ribonuclease P, named MRPP1-MRPP2 subcomplex, which displays functions that are independent of the ribonuclease P activity (PubMed:23042678, PubMed:29040705). The MRPP1-MRPP2 subcomplex catalyzes the formation of N(1)-methylguanine and N(1)-methyladenine at position 9 (m1G9 and m1A9, respectively) in tRNAs; HSD17B10/MRPP2 acting as a non-catalytic subunit (PubMed:23042678, PubMed:25925575, PubMed:28888424). The MRPP1-MRPP2 subcomplex also acts as a tRNA maturation platform: following 5'-end cleavage by the mitochondrial ribonuclease P complex, the MRPP1-MRPP2 subcomplex enhances the efficiency of 3'-processing catalyzed by ELAC2, retains the tRNA product after ELAC2 processing and presents the nascent tRNA to the mitochondrial CCA tRNA nucleotidyltransferase TRNT1 enzyme (PubMed:29040705). Associates with mitochondrial DNA complexes at the nucleoids to initiate RNA processing and ribosome assembly",HSD10 mitochondrial disease (HSD10MD),"Mitochondrion; Mitochondrion matrix, mitochondrion nucleoid",Ubiquitously expressed in normal tissues but is overexpressed in neurons affected in AD,Lipid metabolism; bile acid biosynthesis,3D-structure|Acetylation|Alternative splicing|Disease variant|Fatty acid metabolism|Intellectual disability|Lipid metabolism|Mitochondrion|Mitochondrion nucleoid|NAD|Neurodegeneration|Oxidoreductase|Proteomics identification|Reference proteome|Steroid metabolism|tRNA processing,, [20-20]| [22-22]| [41-41]| [64-64]| [65-65]| [91-91]| [155-155]| [168-168]| [172-172]| [201-201]| [203-203],Proton acceptor [168-168],Q99714,1SO8|1U7T|2O23|7ONU|8CBK|8CBL|8CBM|8CBO|8RR1|8RR3|8RR4|9EY0|9EY1|9EY2|9GCH,DB02820|DB00157|DB09568,CHEMBL4159,hsa:3028,R-HSA-6785470:tRNA processing in the mitochondrion|R-HSA-6787450:tRNA modification in the mitochondrion|R-HSA-70895:Branched-chain amino acid catabolism|R-HSA-8868766:rRNA processing in the mitochondrion|R-HSA-9837999:Mitochondrial protein degradation,261,26923,Homo sapiens
P34932,HSP74_HUMAN,reviewed,HSPA4,APG2|HSPH2,Heat shock 70 kDa protein 4,,,Cytoplasm,,,Acetylation|Alternative splicing|ATP-binding|Cytoplasm|Direct protein sequencing|Methylation|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Stress response,,,,P34932,,DB12695,CHEMBL5169130,hsa:3308,R-HSA-3371453:Regulation of HSF1-mediated heat shock response,840,94331,Homo sapiens
P38646,HSPA9_HUMAN,reviewed,HSPA9,GRP75|HSPA9B|mt-HSP70,"Stress-70 protein, mitochondrial","Mitochondrial chaperone that plays a key role in mitochondrial protein import, folding, and assembly. Plays an essential role in the protein quality control system, the correct folding of proteins, the re-folding of misfolded proteins, and the targeting of proteins for subsequent degradation. These processes are achieved through cycles of ATP binding, ATP hydrolysis, and ADP release, mediated by co-chaperones (PubMed:18632665, PubMed:25615450, PubMed:28848044, PubMed:30933555, PubMed:31177526). In mitochondria, it associates with the TIM (translocase of the inner membrane) protein complex to assist in the import and folding of mitochondrial proteins (By similarity). Plays an important role in mitochondrial iron-sulfur cluster (ISC) biogenesis, interacts with and stabilizes ISC cluster assembly proteins FXN, NFU1, NFS1 and ISCU (PubMed:26702583). Regulates erythropoiesis via stabilization of ISC assembly (PubMed:21123823, PubMed:26702583). Regulates mitochondrial calcium-dependent apoptosis by coupling two calcium channels, ITPR1 and VDAC1, at the mitochondria-associated endoplasmic reticulum (ER) membrane to facilitate calcium transport from the ER lumen to the mitochondria intermembrane space, providing calcium for the downstream calcium channel MCU, which releases it into the mitochondrial matrix (By similarity). Although primarily located in the mitochondria, it is also found in other cellular compartments. In the cytosol, it associates with proteins involved in signaling, apoptosis, or senescence. It may play a role in cell cycle regulation via its interaction with and promotion of degradation of TP53 (PubMed:24625977, PubMed:26634371). May play a role in the control of cell proliferation and cellular aging (By similarity). Protects against reactive oxygen species (ROS) (By similarity). Extracellular HSPA9 plays a cytoprotective role by preventing cell lysis following immune attack by the membrane attack complex by disrupting formation of the complex (PubMed:16091382)","Anemia, sideroblastic, 4 (SIDBA4)|Even-plus syndrome (EVPLS)","Mitochondrion; Nucleus, nucleolus; Cytoplasm; Mitochondrion matrix",,,3D-structure|Acetylation|ATP-binding|Chaperone|Cytoplasm|Direct protein sequencing|Disease variant|Dwarfism|Hydrolase|Methylation|Mitochondrion|Nucleotide-binding|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Transit peptide,, [63-63]| [64-64]| [313-313]| [316-316]| [320-320]| [388-388]| [391-391],,P38646,3N8E|4KBO|6NHK|6P2U|6PMT|9BLS|9BLT|9BLU,,CHEMBL4295757,hsa:3313,R-HSA-1268020:Mitochondrial protein import|R-HSA-3371453:Regulation of HSF1-mediated heat shock response|R-HSA-6799198:Complex I biogenesis|R-HSA-8949613:Cristae formation|R-HSA-8950505:Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation|R-HSA-9837999:Mitochondrial protein degradation|R-HSA-9841251:Mitochondrial unfolded protein response (UPRmt)|R-HSA-9865881:Complex III assembly,679,73680,Homo sapiens
P07900,HS90A_HUMAN,reviewed,HSP90AA1,HSP90A|HSPC1|HSPCA,Heat shock protein HSP 90-alpha,(Microbial infection) Seems to interfere with N.meningitidis NadA-mediated invasion of human cells. Decreasing HSP90 levels increases adhesion and entry of E.coli expressing NadA into human Chang cells; increasing its levels leads to decreased adhesion and invasion,,Nucleus; Cytoplasm; Melanosome; Cell membrane; Mitochondrion,,,3D-structure|Acetylation|Alternative splicing|ATP-binding|Cell membrane|Chaperone|Cytoplasm|Direct protein sequencing|Host-virus interaction|Hydrolase|Membrane|Mitochondrion|Nucleotide-binding|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|S-nitrosylation|Stress response|Ubl conjugation,, [51-51]| [93-93]| [112-112]| [138-138]| [400-400],,P07900,1BYQ|1OSF|1UY6|1UY7|1UY8|1UY9|1UYC|1UYD|1UYE|1UYF|1UYG|1UYH|1UYI|1UYK|1UYL|1YC1|1YC3|1YC4|1YER|1YES|1YET|2BSM|2BT0|2BUG|2BYH|2BYI|2BZ5|2C2L|2CCS|2CCT,DB07317|DB08197|DB08443|DB08557|DB08789|DB06969|DB08788|DB07324|DB02840|DB03749|DB08787|DB08786|DB07502|DB07100|DB06957,CHEMBL3880,hsa:3320,"R-HSA-1227986:Signaling by ERBB2|R-HSA-1236382:Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants|R-HSA-1474151:Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation|R-HSA-168928:DDX58/IFIH1-mediated induction of interferon-alpha/beta|R-HSA-192905:vRNP Assembly|R-HSA-2029482:Regulation of actin dynamics for phagocytic cup formation|R-HSA-203615:eNOS activation|R-HSA-2565942:Regulation of PLK1 Activity at G2/M Transition|R-HSA-3000484:Scavenging by Class F Receptors|R-HSA-3371497:HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|R-HSA-3371511:HSF1 activation|R-HSA-3371568:Attenuation phase|R-HSA-3371571:HSF1-dependent transactivation|R-HSA-380259:Loss of Nlp from mitotic centrosomes|R-HSA-380270:Recruitment of mitotic centrosome proteins and complexes|R-HSA-380284:Loss of proteins required for interphase microtubule organization from the centrosome|R-HSA-380320:Recruitment of NuMA to mitotic centrosomes|R-HSA-399954:Sema3A PAK dependent Axon repulsion|R-HSA-4420097:VEGFA-VEGFR2 Pathway|R-HSA-5218920:VEGFR2 mediated vascular permeability",732,84660,Homo sapiens
P08238,HS90B_HUMAN,reviewed,HSP90AB1,HSP90B|HSPC2|HSPC3|HSPCB,Heat shock protein HSP 90-beta,(Microbial infection) Binding to N.meningitidis NadA stimulates monocytes (PubMed:21949862). Seems to interfere with N.meningitidis NadA-mediated invasion of human cells (Probable),,Cytoplasm; Melanosome; Nucleus; Secreted; Cell membrane; Dynein axonemal particle; Cell surface,,,3D-structure|Acetylation|ATP-binding|Cell membrane|Chaperone|Cytoplasm|Direct protein sequencing|Glycoprotein|Membrane|Methylation|Nucleotide-binding|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|S-nitrosylation|Secreted|Stress response|Ubl conjugation,, [46-46]| [88-88]| [107-107]| [133-133]| [392-392],,P08238,1QZ2|1UYM|2L6J|3FWV|3NMQ|3PRY|3UQ3|5FWK|5FWL|5FWM|5FWP|5UC4|5UCH|5UCI|5UCJ|6N8W|6N8Y|7ULJ|7Z37|7Z38|7ZR0|7ZR5|7ZR6|7ZUB|8EOA|8EOB|8GAE|8GFT|8QMO|9D9H,DB08293|DB08153|DB08292|DB08346|DB08465|DB08045|DB07877|DB02754|DB07594|DB02424|DB08464|DB09221|DB03758|DB06070|DB05134,CHEMBL4303,hsa:3326,R-HSA-168928:DDX58/IFIH1-mediated induction of interferon-alpha/beta|R-HSA-2029482:Regulation of actin dynamics for phagocytic cup formation|R-HSA-3371497:HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand|R-HSA-3371511:HSF1 activation|R-HSA-3371568:Attenuation phase|R-HSA-3371571:HSF1-dependent transactivation|R-HSA-399954:Sema3A PAK dependent Axon repulsion|R-HSA-5336415:Uptake and function of diphtheria toxin|R-HSA-6798695:Neutrophil degranulation|R-HSA-844456:The NLRP3 inflammasome|R-HSA-8852276:The role of GTSE1 in G2/M progression after G2 checkpoint|R-HSA-8937144:Aryl hydrocarbon receptor signalling|R-HSA-8939211:ESR-mediated signaling|R-HSA-9013418:RHOBTB2 GTPase cycle|R-HSA-9018519:Estrogen-dependent gene expression|R-HSA-9613829:Chaperone Mediated Autophagy|R-HSA-9660826:Purinergic signaling in leishmaniasis infection|R-HSA-9679191:Potential therapeutics for SARS|R-HSA-9705671:SARS-CoV-2 activates/modulates innate and adaptive immune responses|R-HSA-9820962:Assembly and release of respiratory syncytial virus (RSV) virions,724,83264,Homo sapiens
P14625,ENPL_HUMAN,reviewed,HSP90B1,GRP94|HSPC4|TRA1,Endoplasmin,"ATP-dependent chaperone involved in the processing of proteins in the endoplasmic reticulum, regulating their transport (PubMed:23572575, PubMed:39509507). Together with MESD, acts as a modulator of the Wnt pathway by promoting the folding of LRP6, a coreceptor of the canonical Wnt pathway (PubMed:23572575, PubMed:39509507). When associated with CNPY3, required for proper folding of Toll-like receptors (PubMed:11584270). Promotes folding and trafficking of TLR4 to the cell surface (PubMed:11584270). May participate in the unfolding of cytosolic leaderless cargos (lacking the secretion signal sequence) such as the interleukin 1/IL-1 to facilitate their translocation into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) and secretion; the translocation process is mediated by the cargo receptor TMED10 (PubMed:32272059)",,Endoplasmic reticulum lumen; Sarcoplasmic reticulum lumen; Melanosome,,,3D-structure|Acetylation|ATP-binding|Calcium|Chaperone|Direct protein sequencing|Disulfide bond|Endoplasmic reticulum|Glycoprotein|Hydrolase|Hydroxylation|Nucleotide-binding|Phosphoprotein|Proteomics identification|Reference proteome|Sarcoplasmic reticulum|Signal,, [107-107]| [149-149]| [162-162]| [199-199],,P14625,4NH9|7ULL,DB08465|DB02103|DB09130|DB02935|DB02424|DB08464|DB03719|DB03758|DB00615,CHEMBL1075323,hsa:7184,R-HSA-1679131:Trafficking and processing of endosomal TLR|R-HSA-3000480:Scavenging by Class A Receptors|R-HSA-381183:ATF6 (ATF6-alpha) activates chaperone genes|R-HSA-381426:Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)|R-HSA-6785807:Interleukin-4 and Interleukin-13 signaling|R-HSA-8957275:Post-translational protein phosphorylation,803,92469,Homo sapiens
O43301,HS12A_HUMAN,reviewed,HSPA12A,KIAA0417,Heat shock 70 kDa protein 12A,"Adapter protein for SORL1, but not SORT1. Delays SORL1 internalization and affects SORL1 subcellular localization",,Cytoplasm; Nucleus,"Widely expressed with highest levels in brain, kidney and muscle",,Acetylation|ATP-binding|Cytoplasm|Nucleotide-binding|Nucleus|Proteomics identification|Reference proteome,,,,O43301,,,,hsa:259217,R-HSA-3371453:Regulation of HSF1-mediated heat shock response,675,74978,Homo sapiens
P04792,HSPB1_HUMAN,reviewed,HSPB1,HSP27|HSP28,Heat shock protein beta-1,"Small heat shock protein which functions as a molecular chaperone probably maintaining denatured proteins in a folding-competent state (PubMed:10383393, PubMed:20178975). Plays a role in stress resistance and actin organization (PubMed:19166925). Through its molecular chaperone activity may regulate numerous biological processes including the phosphorylation and the axonal transport of neurofilament proteins (PubMed:23728742)","Charcot-Marie-Tooth disease, axonal, type 2F (CMT2F)|Neuronopathy, distal hereditary motor, autosomal dominant 3 (HMND3)","Cytoplasm; Nucleus; Cytoplasm, cytoskeleton, spindle","Detected in all tissues tested: skeletal muscle, heart, aorta, large intestine, small intestine, stomach, esophagus, bladder, adrenal gland, thyroid, pancreas, testis, adipose tissue, kidney, liver, spleen, cerebral cortex, blood serum and cerebrospinal fluid. Highest levels are found in the heart and in tissues composed of striated and smooth muscle",,3D-structure|Acetylation|Chaperone|Charcot-Marie-Tooth disease|Cytoplasm|Cytoskeleton|Direct protein sequencing|Disease variant|Host-virus interaction|Methylation|Neurodegeneration|Neuropathy|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Stress response,sHSP [76-184],,,P04792,2N3J|3Q9P|3Q9Q|4MJH|6DV5|6GJH,DB06094|DB11638|DB12695,CHEMBL5976,hsa:3315,R-HSA-4420097:VEGFA-VEGFR2 Pathway|R-HSA-450408:AUF1 (hnRNP D0) binds and destabilizes mRNA|R-HSA-5687128:MAPK6/MAPK4 signaling|R-HSA-9009391:Extra-nuclear estrogen signaling,205,22783,Homo sapiens
O14558,HSPB6_HUMAN,reviewed,HSPB6,,Heat shock protein beta-6,Small heat shock protein which functions as a molecular chaperone probably maintaining denatured proteins in a folding-competent state. Seems to have versatile functions in various biological processes. Plays a role in regulating muscle function such as smooth muscle vasorelaxation and cardiac myocyte contractility. May regulate myocardial angiogenesis implicating KDR. Overexpression mediates cardioprotection and angiogenesis after induced damage. Stabilizes monomeric YWHAZ thereby supporting YWHAZ chaperone-like activity,,Cytoplasm; Nucleus; Secreted,,,3D-structure|Chaperone|Cytoplasm|Direct protein sequencing|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Secreted|Stress response,sHSP [55-160],,,O14558,4JUS|4JUT|5LTW|5LU1|5LU2|5LUM|5OK9|5OKF,,,hsa:126393,,160,17136,Homo sapiens
Q9UJY1,HSPB8_HUMAN,reviewed,HSPB8,CRYAC|E2IG1|HSP22,Heat shock protein beta-8,"Involved in the chaperone-assisted selective autophagy (CASA), a crucial process for protein quality control, particularly in mechanical strained cells and tissues such as muscle. Displays temperature-dependent chaperone activity","Neuronopathy, distal hereditary motor, autosomal dominant 2 (HMND2)|Charcot-Marie-Tooth disease, axonal, type 2L (CMT2L)|Myopathy, myofibrillar, 13, with rimmed vacuoles (MFM13)",Cytoplasm; Nucleus,Predominantly expressed in skeletal muscle and heart,,3D-structure|Chaperone|Charcot-Marie-Tooth disease|Cytoplasm|Disease variant|Methylation|Myofibrillar myopathy|Neurodegeneration|Neuropathy|Nucleus|Phosphoprotein|Proteomics identification|Reference proteome|Stress response,sHSP [74-185],,,Q9UJY1,8S7A,,,hsa:26353,R-HSA-3371571:HSF1-dependent transactivation,196,21604,Homo sapiens
P98160,PGBM_HUMAN,reviewed,HSPG2,,Basement membrane-specific heparan sulfate proteoglycan core protein,Has anti-angiogenic properties that require binding of calcium ions for full activity,Schwartz-Jampel syndrome (SJS1)|Dyssegmental dysplasia Silverman-Handmaker type (DDSH),"Secreted, extracellular space, extracellular matrix, basement membrane; Secreted","Detected in cerebrospinal fluid, fibroblasts and urine (at protein level)",,3D-structure|Angiogenesis|Basement membrane|Calcium|Direct protein sequencing|Disease variant|Disulfide bond|EGF-like domain|Extracellular matrix|Glycoprotein|Heparan sulfate|Immunoglobulin domain|Laminin EGF-like domain|Metal-binding|Proteoglycan|Proteomics identification|Reference proteome|Repeat|Secreted|Signal,SEA [80-191]|LDL-receptor class A 1 [198-235]|LDL-receptor class A 2 [284-320]|LDL-receptor class A 3 [324-360]|LDL-receptor class A 4 [367-404]|Ig-like C2-type 1 [405-504]|Laminin EGF-like 1; first part [521-530]|Laminin IV type A 1 [538-730]|Laminin EGF-like 1; second part [731-763]|Laminin EGF-like 2 [764-813]|Laminin EGF-like 3 [814-871]|Laminin EGF-like 4; truncated [879-923]|Laminin EGF-like 5; first part [924-933]|Laminin IV type A 2 [941-1125]|Laminin EGF-like 5; second part [1126-1158]|Laminin EGF-like 6 [1159-1208]|Laminin EGF-like 7 [1209-1265]|Laminin EGF-like 8 [1275-1324]|Laminin EGF-like 9; first part [1325-1334]|Laminin IV type A 3 [1344-1529], [4258-4258]| [4275-4275]| [4325-4325]| [4327-4327],,,3SH4|3SH5,DB16662|DB00039,CHEMBL5465297,hsa:3339,"R-HSA-1474228:Degradation of the extracellular matrix|R-HSA-1971475:Glycosaminoglycan-protein linkage region biosynthesis|R-HSA-2022928:HS-GAG biosynthesis|R-HSA-2024096:HS-GAG degradation|R-HSA-216083:Integrin cell surface interactions|R-HSA-3000157:Laminin interactions|R-HSA-3000171:Non-integrin membrane-ECM interactions|R-HSA-3000178:ECM proteoglycans|R-HSA-3560783:Defective B4GALT7 causes EDS, progeroid type|R-HSA-3560801:Defective B3GAT3 causes JDSSDHD|R-HSA-3656237:Defective EXT2 causes exostoses 2|R-HSA-3656253:Defective EXT1 causes exostoses 1, TRPS2 and CHDS|R-HSA-4420332:Defective B3GALT6 causes EDSP2 and SEMDJL1|R-HSA-9694614:Attachment and Entry|R-HSA-975634:Retinoid metabolism and transport|R-HSA-977225:Amyloid fiber formation|R-HSA-9820960:Respiratory syncytial virus (RSV) attachment and entry|R-HSA-9833110:RSV-host interactions|R-HSA-9856532:Mechanical load activates signaling by PIEZO1 and integrins in osteocytes|R-HSA-9913351:Formation of the dystrophin-glycoprotein complex (DGC)",4391,468830,Homo sapiens
Q92743,HTRA1_HUMAN,reviewed,HTRA1,HTRA|PRSS11,Serine protease HTRA1,"Serine protease with a variety of targets, including extracellular matrix proteins such as fibronectin. HTRA1-generated fibronectin fragments further induce synovial cells to up-regulate MMP1 and MMP3 production. May also degrade proteoglycans, such as aggrecan, decorin and fibromodulin. Through cleavage of proteoglycans, may release soluble FGF-glycosaminoglycan complexes that promote the range and intensity of FGF signals in the extracellular space. Regulates the availability of insulin-like growth factors (IGFs) by cleaving IGF-binding proteins. Inhibits signaling mediated by TGF-beta family members. This activity requires the integrity of the catalytic site, although it is unclear whether TGF-beta proteins are themselves degraded. By acting on TGF-beta signaling, may regulate many physiological processes, including retinal angiogenesis and neuronal survival and maturation during development. Intracellularly, degrades TSC2, leading to the activation of TSC2 downstream targets","Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 2 (CARASIL2)|Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, 2 (CADASIL2)","Cell membrane; Secreted; Cytoplasm, cytosol","Widely expressed, with strongest expression in placenta (at protein level). Secreted by synovial fibroblasts. Up-regulated in osteoarthritis and rheumatoid arthritis synovial fluids and cartilage as compared with non-arthritic (at protein level)",,3D-structure|Age-related macular degeneration|Cell membrane|Cytoplasm|Direct protein sequencing|Disease variant|Disulfide bond|Growth factor binding|Hydrolase|Membrane|Protease|Proteomics identification|Reference proteome|Secreted|Serine protease|Signal,IGFBP N-terminal [33-113]|Kazal-like [98-157]|PDZ [365-467],,Charge relay system [220-220]|Charge relay system [250-250]|Charge relay system [328-328],Q92743,2JOA|2YTW|3NUM|3NWU|3NZI|3TJN|3TJO|3TJQ|6Z0E|6Z0X|6Z0Y|7SJN|7SJO|7SJP|8SDM|8SDP|8SE7|8SE8,,CHEMBL4523419,hsa:5654,R-HSA-1474228:Degradation of the extracellular matrix,480,51287,Homo sapiens
Q12794,HYAL1_HUMAN,reviewed,HYAL1,LUCA1,Hyaluronidase-1,May have a role in promoting tumor progression. May block the TGFB1-enhanced cell growth,Mucopolysaccharidosis 9 (MPS9),Secreted; Lysosome,"Highly expressed in the liver, kidney and heart. Weakly expressed in lung, placenta and skeletal muscle. No expression detected in adult brain. Isoform 1 is expressed only in bladder and prostate cancer cells, G2/G3 bladder tumor tissues and lymph node specimens showing tumor invasive tumors cells. Isoform 3, isoform 4, isoform 5 and isoform 6 are expressed in normal bladder and bladder tumor tissues",,3D-structure|Alternative splicing|Direct protein sequencing|Disease variant|Disulfide bond|EGF-like domain|Glycoprotein|Glycosidase|Hydrolase|Lysosome|Mucopolysaccharidosis|Proteomics identification|Reference proteome|Secreted|Signal,EGF-like [354-430],,Proton donor [131-131],Q12794,2PE4,DB08818,CHEMBL4528,hsa:3373,R-HSA-2024101:CS/DS degradation|R-HSA-2160916:Hyaluronan degradation|R-HSA-2206280:MPS IX - Natowicz syndrome (Hyaluronan metabolism)|R-HSA-9953097:MPS IX - Natowicz syndrome (CS/DS degradation),435,48368,Homo sapiens
Q12891,HYAL2_HUMAN,reviewed,HYAL2,LUCA2,Hyaluronidase-2,Catalyzes hyaluronan degradation into small fragments that are endocytosed and degraded in lysosomes by HYAL1 and exoglycosidases (PubMed:9712871). Essential for the breakdown of extracellular matrix hyaluronan (PubMed:28081210),Muggenthaler-Chowdhury-Chioza syndrome (MCCS),Cell membrane,Widely expressed (at protein level),,Cell membrane|Disease variant|Disulfide bond|EGF-like domain|Glycoprotein|Glycosidase|GPI-anchor|Hydrolase|Lipoprotein|Membrane|Proteomics identification|Receptor|Reference proteome|Signal,EGF-like [361-439],,Proton donor [135-135],Q12891,,DB08818,,hsa:8692,R-HSA-2142845:Hyaluronan metabolism|R-HSA-2160916:Hyaluronan degradation,473,53860,Homo sapiens
P05362,ICAM1_HUMAN,reviewed,ICAM1,,Intercellular adhesion molecule 1,"(Microbial infection) Upon Kaposi's sarcoma-associated herpesvirus/HHV-8 infection, is degraded by viral E3 ubiquitin ligase MIR2, presumably to prevent lysis of infected cells by cytotoxic T-lymphocytes and NK cell",,Cell membrane,"Expressed on non-hematopoietic cells such as vascular endothelial cells, thymic epithelial cells, certain other epithelial cells, and fibroblasts, and on hematopoietic cells such as tissue macrophages, mitogen-stimulated T lymphocyte blasts, and germinal center dendritic cells in tonsils, lymph nodes, and Peyer's patches (PubMed:3086451). Expressed in low amounts on peripheral blood leukocytes (PubMed:3086451)",,3D-structure|Cell adhesion|Cell membrane|Direct protein sequencing|Disulfide bond|Glycoprotein|Host cell receptor for virus entry|Host-virus interaction|Immunoglobulin domain|Membrane|Phosphoprotein|Proteomics identification|Receptor|Reference proteome|Repeat|Signal|Transmembrane|Transmembrane helix|Ubl conjugation,Ig-like C2-type 1 [41-103]|Ig-like C2-type 2 [128-193]|Ig-like C2-type 3 [230-297]|Ig-like C2-type 4 [325-378]|Ig-like C2-type 5 [412-464],,,P05362,1D3E|1D3I|1D3L|1IAM|1IC1|1MQ8|1P53|1Z7Z|2OZ4|3TCX|5MZA|6EIT|6S8U|7BG7,DB06224|DB08818|DB11611|DB12598|DB00108,CHEMBL3070,hsa:3383,R-HSA-198933:Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell|R-HSA-216083:Integrin cell surface interactions|R-HSA-6783783:Interleukin-10 signaling|R-HSA-6785807:Interleukin-4 and Interleukin-13 signaling|R-HSA-877300:Interferon gamma signaling,532,57825,Homo sapiens
